id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
WPA_119,"Winox Faitout Avec Couvercle MAGMA 24 Cm   Super Résistante  7 Couches","Marque : Winox 
  Matière : Aluminium + téflon 
  Couleur : Magma 
  Diamètre : 24 cm 
  Nombre de pièces : 2 
  Pays de fabrication : Tunisie 
  Fabricant : Groupe Sopal 
  Revêtement anti-adhésif 7 couches 
  Durable et résistante",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-4.png,https://cakado.com/produit/winox-faitout-avec-couvercle-magma-24-cm-super-resistante-7-couches/,"cocotte couscoussier","Sopal",54TND,in stock,WPA_119,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,54TND,new,published,,,,,638,,
WCACG_121,"Winox Couscoussier Avec Couvercle Gamme GRANITE   5L   Super Résistante   7 Couches","Marque : Winox 
  Matière : Acier inoxydable 
  Couleur : Gris 
  Pays de fabrication : Tunisie 
  Capacité : 5 L 
  Nombre de pièces : 3 
  Fabricant : Groupe Sopal 
  Diamètre : 25 cm 
  7 couches anti-adhésives",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-3.png,https://cakado.com/produit/winox-couscoussier-avec-couvercle-gamme-granite-5l-super-resistante-7-couches/,"cocotte couscoussier","Sopal",84TND,in stock,WCACG_121,,"https://cakado.com/wp-content/uploads/2021/07/qsdqsdq.png,https://cakado.com/wp-content/uploads/2021/07/qsdsq.pngl_.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,84TND,new,published,,,,,638,,
AMHR500W_109,"Arnica Mini Hachoir Rapid Plus 500W Made in Turkey GH21132","Puissance : 500 W 
  Capacité de la trémie : 1300 ml 
  Lame principale du hachoir 
  Utilisation pratique 
  Lame supérieure supplémentaire • 
  Protège-lame 
  Trémie transparente extra durable • 
  Lame double couche en acier inoxydable 
  Bol hachoir",https://cakado.com/wp-content/uploads/2021/07/1-18.png,https://cakado.com/produit/arnica-mini-hachoir-rapid-plus-500w-made-in-turkey-gh21132/,"Petits Électroménagers","CAKADO",74TND,in stock,AMHR500W_109,,"https://cakado.com/wp-content/uploads/2021/07/2-15.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,74TND,new,published,,,,,638,,
CL13PV_111,"Coupe Légumes 13 Pièces  Vert","Matière : Plastique 
  Couleur : Vert- pistache 
  Matière de lame : Acier inoxydable 
  Dimensions (L*l*H) : 27.5*10*8.5",https://cakado.com/wp-content/uploads/2021/07/2-14.png,https://cakado.com/produit/coupe-legumes-13-pieces-vert/,"Petits Électroménagers","CAKADO",29TND,in stock,CL13PV_111,,"https://cakado.com/wp-content/uploads/2021/07/1-17.png,https://cakado.com/wp-content/uploads/2021/07/3-8.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,29TND,new,published,,,,,638,,
SD7AECA_113,"Set De 7 Pots À Épices En Céramique Avec Support En Bambou - 7 Pièces","Matière : Céramique + bambou 
  Couleur : Blanc 
  Nombre de pièces : 7 
  1 Support 
  Dimensions (L*l*H) : 32*10.5*23 cm",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1.png,https://cakado.com/produit/set-de-7-pots-a-epices-en-ceramique-avec-support-en-bambou-7-pieces/,"Boîte De Conservation","CAKADO",29TND,in stock,SD7AECA_113,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,29TND,new,published,,,,,638,,
HALVM1.5_115,"Hachoir À Légumes-Viande Manuel 1.5 L","Couteau en acier inoxydable et corps en plastique alimentaire. 
  Parfait pour faire des salades rapides ou cuisine des légumes. 
  Utilisation manuelle et simple par tourner seulement la poignée résistante à l'usure, ne pas blesser les mains et ne pas nécessiter ni batterie ni électricité. 
  Il est idéal pour les petites cuisines, les maisons mobiles, Voyage et le camping, facile à transporter et à stocker. 
  Matière : Acier inoxydable + Plastique 
 
  Capacité : 1.5 L 
  Dimensions (L*l*H) : 18*18*14 cm",https://cakado.com/wp-content/uploads/2021/07/1-16.png,https://cakado.com/produit/hachoir-a-legumes-viande-manuel-1-5-l/,"Petits Électroménagers","CAKADO",17TND,in stock,HALVM1.5_115,,"https://cakado.com/wp-content/uploads/2021/07/2-13.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17TND,new,published,,,,,638,,
WCACSM5S_117,"Winox Couscoussier Avec Couvercle Série MAGMA 5L Super Résistante 7 Couches","Une matière en inox 18/10 inoxydable et un fond 3 couches avec une dalle d’aluminium à l’intérieur vous garantissent une répartition homogène de la chaleur, un respect total des saveurs et une résistance totale aux frottements. 
  Structure en fonte d'aluminium avec revêtement anti-adhésif. 
  Avec Poignées thermorésistantes en bakélite noire antidérapante. Ce couscoussier est également utile pour toutes les cuissons vapeur. 
  Cuisine saine, parfaite antiadhésive et nettoyage facile jour après jour. 
  Cuisson tous feux dont induction. 
  Compatible lave-vaisselle. 
  Un assortiment riche. 
  Dure longtemps.",https://cakado.com/wp-content/uploads/2021/07/1-15.png,https://cakado.com/produit/winox-couscoussier-avec-couvercle-serie-magma-5l-super-resistante-7-couches/,"cocotte couscoussier","CAKADO",82TND,in stock,WCACSM5S_117,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,82TND,new,published,,,,,638,,
167221GRC021990-cons_81,"Set 6 Verres Bormioli Rocco Barolo ii 48 Cl","Fabriqués en « star glass » : un verre très transparent et 100 % recyclable 
  Contenance : Verre  480 ml - 16 1/4 oz 
  Dimensions: h 195 mm - 7 3/4'  Ø 99 mm - 4' 
  Peuvent être mis au lave-vaisselle",https://cakado.com/wp-content/uploads/2021/07/set-6-verres-bormioli-rocco-barolo-ii-48-cl.png,https://cakado.com/produit/set-6-verres-bormioli-rocco-barolo-ii-48-cl/,"Service Des Boissons","CAKADO",48TND,in stock,167221GRC021990-cons_81,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,48TND,new,published,,,,,638,,
B2S1.5AME_97,"Blender 2 speed-1.5L  avec Moulin èpices","Couleur : Neute gris 
Modèle : 2020 
Gamme de produits : 2020 
Taille (Longueur x Largeur x Hauteur cm) : H35 x L18 
Poids (kg) : 1",https://cakado.com/wp-content/uploads/2021/07/1-14.png,https://cakado.com/produit/blender-2-speed-1-5l-avec-moulin-epices/,"Batterie de cuisine","CAKADO",80TND,in stock,B2S1.5AME_97,,"https://cakado.com/wp-content/uploads/2021/07/2-12.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,80TND,new,published,,,,,638,,
8414270050122_135,"Mortier En Bois Gm 12cm","Mortier en bois avec poignée 12 cm Fabriqué en Espagne avec du bois de pin Haute qualité Comprend la main Convient pour un usage alimentaire Nettoyage facile Dimensions: diamètre extérieur 12 cm, diamètre intérieur supérieur 9 cm, diamètre inférieur 7,5 cm, hauteur 8,5 cm et maillet 16x3,5 cm.",https://cakado.com/wp-content/uploads/2021/07/Untitled-design.png,https://cakado.com/produit/mortier-en-bois-gm-12cm/,"divers","CAKADO",19.6TND,in stock,8414270050122_135,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,19.6TND,new,published,,,,,638,,
